epoch,layer_name,importance_score,allocated_rank
1,base_model.model.model.layers.0.self_attn.q_proj,0.9939153690157192,8
1,base_model.model.model.layers.0.self_attn.k_proj,1.0,8
1,base_model.model.model.layers.0.self_attn.v_proj,0.9963134560800556,8
1,base_model.model.model.layers.0.self_attn.o_proj,0.9774098433021988,7
1,base_model.model.model.layers.0.mlp.gate_proj,0.9970150234809677,8
1,base_model.model.model.layers.0.mlp.up_proj,0.9944219741038978,8
1,base_model.model.model.layers.0.mlp.down_proj,0.9943502091403519,8
1,base_model.model.model.layers.1.self_attn.q_proj,1.0,8
1,base_model.model.model.layers.1.self_attn.k_proj,1.0,8
1,base_model.model.model.layers.1.self_attn.v_proj,0.9751960422843695,7
1,base_model.model.model.layers.1.self_attn.o_proj,0.9892646600492299,8
1,base_model.model.model.layers.1.mlp.gate_proj,1.0,8
1,base_model.model.model.layers.1.mlp.up_proj,1.0,8
1,base_model.model.model.layers.1.mlp.down_proj,1.0,8
1,base_model.model.model.layers.2.self_attn.q_proj,0.9928427020486976,8
1,base_model.model.model.layers.2.self_attn.k_proj,0.9867824698931404,8
1,base_model.model.model.layers.2.self_attn.v_proj,1.0,8
1,base_model.model.model.layers.2.self_attn.o_proj,0.9902394055122775,8
1,base_model.model.model.layers.2.mlp.gate_proj,1.0,8
1,base_model.model.model.layers.2.mlp.up_proj,1.0,8
1,base_model.model.model.layers.2.mlp.down_proj,1.0,8
1,base_model.model.model.layers.3.self_attn.q_proj,0.9820984994726522,7
1,base_model.model.model.layers.3.self_attn.k_proj,1.0,8
1,base_model.model.model.layers.3.self_attn.v_proj,1.0,8
1,base_model.model.model.layers.3.self_attn.o_proj,1.0,9
1,base_model.model.model.layers.3.mlp.gate_proj,1.0,9
1,base_model.model.model.layers.3.mlp.up_proj,0.9862159462113466,7
1,base_model.model.model.layers.3.mlp.down_proj,0.9828804941581828,7
1,base_model.model.model.layers.4.self_attn.q_proj,0.989694735115128,8
1,base_model.model.model.layers.4.self_attn.k_proj,1.0,9
1,base_model.model.model.layers.4.self_attn.v_proj,0.9955385929655417,8
1,base_model.model.model.layers.4.self_attn.o_proj,0.991561757949447,8
1,base_model.model.model.layers.4.mlp.gate_proj,0.9839835278157677,7
1,base_model.model.model.layers.4.mlp.up_proj,1.0,9
1,base_model.model.model.layers.4.mlp.down_proj,1.0,9
1,base_model.model.model.layers.5.self_attn.q_proj,1.0,8
1,base_model.model.model.layers.5.self_attn.k_proj,1.0,9
1,base_model.model.model.layers.5.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.5.self_attn.o_proj,1.0,8
1,base_model.model.model.layers.5.mlp.gate_proj,0.9799804950132966,7
1,base_model.model.model.layers.5.mlp.up_proj,1.0,8
1,base_model.model.model.layers.5.mlp.down_proj,1.0,9
1,base_model.model.model.layers.6.self_attn.q_proj,0.9760622761611427,7
1,base_model.model.model.layers.6.self_attn.k_proj,1.0,9
1,base_model.model.model.layers.6.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.6.self_attn.o_proj,0.9843242562109871,7
1,base_model.model.model.layers.6.mlp.gate_proj,1.0,8
1,base_model.model.model.layers.6.mlp.up_proj,1.0,8
1,base_model.model.model.layers.6.mlp.down_proj,1.0,8
1,base_model.model.model.layers.7.self_attn.q_proj,0.9885942187426345,8
1,base_model.model.model.layers.7.self_attn.k_proj,0.979914965720049,7
1,base_model.model.model.layers.7.self_attn.v_proj,1.0,8
1,base_model.model.model.layers.7.self_attn.o_proj,1.0,8
1,base_model.model.model.layers.7.mlp.gate_proj,1.0,8
1,base_model.model.model.layers.7.mlp.up_proj,1.0,8
1,base_model.model.model.layers.7.mlp.down_proj,0.9941607869230211,8
1,base_model.model.model.layers.8.self_attn.q_proj,0.9976040412605341,8
1,base_model.model.model.layers.8.self_attn.k_proj,1.0,8
1,base_model.model.model.layers.8.self_attn.v_proj,1.0,8
1,base_model.model.model.layers.8.self_attn.o_proj,0.96654055586883,6
1,base_model.model.model.layers.8.mlp.gate_proj,0.992365001314985,8
1,base_model.model.model.layers.8.mlp.up_proj,0.9903483651977565,8
1,base_model.model.model.layers.8.mlp.down_proj,1.0,8
1,base_model.model.model.layers.9.self_attn.q_proj,1.0,8
1,base_model.model.model.layers.9.self_attn.k_proj,0.9163158706256321,4
1,base_model.model.model.layers.9.self_attn.v_proj,1.0,8
1,base_model.model.model.layers.9.self_attn.o_proj,1.0,8
1,base_model.model.model.layers.9.mlp.gate_proj,0.9925241366694016,8
1,base_model.model.model.layers.9.mlp.up_proj,1.0,9
1,base_model.model.model.layers.9.mlp.down_proj,1.0,9
1,base_model.model.model.layers.10.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.10.self_attn.k_proj,0.9415932112506458,5
1,base_model.model.model.layers.10.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.10.self_attn.o_proj,0.9886487663191345,8
1,base_model.model.model.layers.10.mlp.gate_proj,0.9993058852094692,8
1,base_model.model.model.layers.10.mlp.up_proj,0.9990130656910229,8
1,base_model.model.model.layers.10.mlp.down_proj,1.0,9
1,base_model.model.model.layers.11.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.11.self_attn.k_proj,0.9982573796296492,8
1,base_model.model.model.layers.11.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.11.self_attn.o_proj,0.9939298461191356,8
1,base_model.model.model.layers.11.mlp.gate_proj,0.9938126524644239,8
1,base_model.model.model.layers.11.mlp.up_proj,1.0,9
1,base_model.model.model.layers.11.mlp.down_proj,1.0,9
1,base_model.model.model.layers.12.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.12.self_attn.k_proj,0.9421191454998085,5
1,base_model.model.model.layers.12.self_attn.v_proj,0.9771096570683377,7
1,base_model.model.model.layers.12.self_attn.o_proj,0.9991076581562603,8
1,base_model.model.model.layers.12.mlp.gate_proj,1.0,9
1,base_model.model.model.layers.12.mlp.up_proj,1.0,9
1,base_model.model.model.layers.12.mlp.down_proj,0.9910887555751418,8
1,base_model.model.model.layers.13.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.13.self_attn.k_proj,0.8783875876239368,4
1,base_model.model.model.layers.13.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.13.self_attn.o_proj,0.9898846529091575,8
1,base_model.model.model.layers.13.mlp.gate_proj,0.9886840895882675,8
1,base_model.model.model.layers.13.mlp.up_proj,0.9994633535444986,8
1,base_model.model.model.layers.13.mlp.down_proj,1.0,9
1,base_model.model.model.layers.14.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.14.self_attn.k_proj,0.9548943775572947,6
1,base_model.model.model.layers.14.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.14.self_attn.o_proj,0.9948897021232239,8
1,base_model.model.model.layers.14.mlp.gate_proj,0.9848030453813927,7
1,base_model.model.model.layers.14.mlp.up_proj,1.0,9
1,base_model.model.model.layers.14.mlp.down_proj,0.999739898482637,8
1,base_model.model.model.layers.15.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.15.self_attn.k_proj,1.0,9
1,base_model.model.model.layers.15.self_attn.v_proj,0.9624958095273801,6
1,base_model.model.model.layers.15.self_attn.o_proj,0.9917620760920857,8
1,base_model.model.model.layers.15.mlp.gate_proj,0.998144211168983,8
1,base_model.model.model.layers.15.mlp.up_proj,0.976604419520923,7
1,base_model.model.model.layers.15.mlp.down_proj,1.0,9
1,base_model.model.model.layers.16.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.16.self_attn.k_proj,1.0,9
1,base_model.model.model.layers.16.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.16.self_attn.o_proj,1.0,9
1,base_model.model.model.layers.16.mlp.gate_proj,0.9879513623192906,8
1,base_model.model.model.layers.16.mlp.up_proj,0.9844097060550536,7
1,base_model.model.model.layers.16.mlp.down_proj,1.0,9
1,base_model.model.model.layers.17.self_attn.q_proj,0.9664489217634712,6
1,base_model.model.model.layers.17.self_attn.k_proj,1.0,9
1,base_model.model.model.layers.17.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.17.self_attn.o_proj,1.0,9
1,base_model.model.model.layers.17.mlp.gate_proj,0.9802738996488707,7
1,base_model.model.model.layers.17.mlp.up_proj,1.0,9
1,base_model.model.model.layers.17.mlp.down_proj,1.0,9
1,base_model.model.model.layers.18.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.18.self_attn.k_proj,1.0,9
1,base_model.model.model.layers.18.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.18.self_attn.o_proj,1.0,9
1,base_model.model.model.layers.18.mlp.gate_proj,1.0,9
1,base_model.model.model.layers.18.mlp.up_proj,0.9969833391830824,8
1,base_model.model.model.layers.18.mlp.down_proj,0.9915203346471702,8
1,base_model.model.model.layers.19.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.19.self_attn.k_proj,0.9196580778275217,4
1,base_model.model.model.layers.19.self_attn.v_proj,0.9596901568983283,6
1,base_model.model.model.layers.19.self_attn.o_proj,0.9862850192934275,7
1,base_model.model.model.layers.19.mlp.gate_proj,0.9705222152173519,6
1,base_model.model.model.layers.19.mlp.up_proj,1.0,9
1,base_model.model.model.layers.19.mlp.down_proj,0.9977060252201877,8
1,base_model.model.model.layers.20.self_attn.q_proj,0.9820053722177233,7
1,base_model.model.model.layers.20.self_attn.k_proj,0.9828201330399939,7
1,base_model.model.model.layers.20.self_attn.v_proj,1.0,9
1,base_model.model.model.layers.20.self_attn.o_proj,0.9978965689444781,8
1,base_model.model.model.layers.20.mlp.gate_proj,0.9954681378065808,8
1,base_model.model.model.layers.20.mlp.up_proj,1.0,9
1,base_model.model.model.layers.20.mlp.down_proj,0.9847679555416107,7
1,base_model.model.model.layers.21.self_attn.q_proj,1.0,9
1,base_model.model.model.layers.21.self_attn.k_proj,0.9780680393001863,7
1,base_model.model.model.layers.21.self_attn.v_proj,0.953090057947806,6
1,base_model.model.model.layers.21.self_attn.o_proj,0.9940404359783445,8
1,base_model.model.model.layers.21.mlp.gate_proj,1.0,9
1,base_model.model.model.layers.21.mlp.up_proj,0.9987224984082527,8
1,base_model.model.model.layers.21.mlp.down_proj,1.0,9
2,base_model.model.model.layers.0.self_attn.q_proj,0.9939153690157192,8
2,base_model.model.model.layers.0.self_attn.k_proj,1.0,8
2,base_model.model.model.layers.0.self_attn.v_proj,0.9963134560800556,8
2,base_model.model.model.layers.0.self_attn.o_proj,0.9774098433021988,7
2,base_model.model.model.layers.0.mlp.gate_proj,0.9970150234809677,8
2,base_model.model.model.layers.0.mlp.up_proj,0.9944219741038978,8
2,base_model.model.model.layers.0.mlp.down_proj,0.9943502091403519,8
2,base_model.model.model.layers.1.self_attn.q_proj,1.0,8
2,base_model.model.model.layers.1.self_attn.k_proj,1.0,8
2,base_model.model.model.layers.1.self_attn.v_proj,0.9751960422843695,7
2,base_model.model.model.layers.1.self_attn.o_proj,0.9892646600492299,8
2,base_model.model.model.layers.1.mlp.gate_proj,1.0,8
2,base_model.model.model.layers.1.mlp.up_proj,1.0,8
2,base_model.model.model.layers.1.mlp.down_proj,1.0,8
2,base_model.model.model.layers.2.self_attn.q_proj,0.9928427020486976,8
2,base_model.model.model.layers.2.self_attn.k_proj,0.9867824698931404,8
2,base_model.model.model.layers.2.self_attn.v_proj,1.0,8
2,base_model.model.model.layers.2.self_attn.o_proj,0.9902394055122775,8
2,base_model.model.model.layers.2.mlp.gate_proj,1.0,8
2,base_model.model.model.layers.2.mlp.up_proj,1.0,8
2,base_model.model.model.layers.2.mlp.down_proj,1.0,8
2,base_model.model.model.layers.3.self_attn.q_proj,0.9820984994726522,7
2,base_model.model.model.layers.3.self_attn.k_proj,1.0,8
2,base_model.model.model.layers.3.self_attn.v_proj,1.0,8
2,base_model.model.model.layers.3.self_attn.o_proj,1.0,9
2,base_model.model.model.layers.3.mlp.gate_proj,1.0,9
2,base_model.model.model.layers.3.mlp.up_proj,0.9862159462113466,7
2,base_model.model.model.layers.3.mlp.down_proj,0.9828804941581828,7
2,base_model.model.model.layers.4.self_attn.q_proj,0.989694735115128,8
2,base_model.model.model.layers.4.self_attn.k_proj,1.0,9
2,base_model.model.model.layers.4.self_attn.v_proj,0.9955385929655417,8
2,base_model.model.model.layers.4.self_attn.o_proj,0.991561757949447,8
2,base_model.model.model.layers.4.mlp.gate_proj,0.9839835278157677,7
2,base_model.model.model.layers.4.mlp.up_proj,1.0,9
2,base_model.model.model.layers.4.mlp.down_proj,1.0,9
2,base_model.model.model.layers.5.self_attn.q_proj,1.0,8
2,base_model.model.model.layers.5.self_attn.k_proj,1.0,9
2,base_model.model.model.layers.5.self_attn.v_proj,1.0,9
2,base_model.model.model.layers.5.self_attn.o_proj,1.0,8
2,base_model.model.model.layers.5.mlp.gate_proj,0.9799804950132966,7
2,base_model.model.model.layers.5.mlp.up_proj,1.0,8
2,base_model.model.model.layers.5.mlp.down_proj,1.0,9
2,base_model.model.model.layers.6.self_attn.q_proj,0.9760622761611427,7
2,base_model.model.model.layers.6.self_attn.k_proj,1.0,9
2,base_model.model.model.layers.6.self_attn.v_proj,1.0,9
2,base_model.model.model.layers.6.self_attn.o_proj,0.9843242562109871,7
2,base_model.model.model.layers.6.mlp.gate_proj,1.0,8
2,base_model.model.model.layers.6.mlp.up_proj,1.0,8
2,base_model.model.model.layers.6.mlp.down_proj,1.0,8
2,base_model.model.model.layers.7.self_attn.q_proj,0.9885942187426345,8
2,base_model.model.model.layers.7.self_attn.k_proj,0.979914965720049,7
2,base_model.model.model.layers.7.self_attn.v_proj,1.0,8
2,base_model.model.model.layers.7.self_attn.o_proj,1.0,8
2,base_model.model.model.layers.7.mlp.gate_proj,1.0,8
2,base_model.model.model.layers.7.mlp.up_proj,1.0,8
2,base_model.model.model.layers.7.mlp.down_proj,0.9941607869230211,8
2,base_model.model.model.layers.8.self_attn.q_proj,0.9976040412605341,8
2,base_model.model.model.layers.8.self_attn.k_proj,1.0,8
2,base_model.model.model.layers.8.self_attn.v_proj,1.0,8
2,base_model.model.model.layers.8.self_attn.o_proj,0.96654055586883,6
2,base_model.model.model.layers.8.mlp.gate_proj,0.992365001314985,8
2,base_model.model.model.layers.8.mlp.up_proj,0.9903483651977565,8
2,base_model.model.model.layers.8.mlp.down_proj,1.0,8
2,base_model.model.model.layers.9.self_attn.q_proj,1.0,8
2,base_model.model.model.layers.9.self_attn.k_proj,0.9163158706256321,4
2,base_model.model.model.layers.9.self_attn.v_proj,1.0,8
2,base_model.model.model.layers.9.self_attn.o_proj,1.0,8
2,base_model.model.model.layers.9.mlp.gate_proj,0.9925241366694016,8
2,base_model.model.model.layers.9.mlp.up_proj,1.0,9
2,base_model.model.model.layers.9.mlp.down_proj,1.0,9
2,base_model.model.model.layers.10.self_attn.q_proj,1.0,9
2,base_model.model.model.layers.10.self_attn.k_proj,0.9415932112506458,5
2,base_model.model.model.layers.10.self_attn.v_proj,1.0,9
2,base_model.model.model.layers.10.self_attn.o_proj,0.9886487663191345,8
2,base_model.model.model.layers.10.mlp.gate_proj,0.9993058852094692,8
2,base_model.model.model.layers.10.mlp.up_proj,0.9990130656910229,8
2,base_model.model.model.layers.10.mlp.down_proj,1.0,9
2,base_model.model.model.layers.11.self_attn.q_proj,1.0,9
2,base_model.model.model.layers.11.self_attn.k_proj,0.9982573796296492,8
2,base_model.model.model.layers.11.self_attn.v_proj,1.0,9
2,base_model.model.model.layers.11.self_attn.o_proj,0.9939298461191356,8
2,base_model.model.model.layers.11.mlp.gate_proj,0.9938126524644239,8
2,base_model.model.model.layers.11.mlp.up_proj,1.0,9
2,base_model.model.model.layers.11.mlp.down_proj,1.0,9
2,base_model.model.model.layers.12.self_attn.q_proj,1.0,9
2,base_model.model.model.layers.12.self_attn.k_proj,0.9421191454998085,5
2,base_model.model.model.layers.12.self_attn.v_proj,0.9771096570683377,7
2,base_model.model.model.layers.12.self_attn.o_proj,0.9991076581562603,8
2,base_model.model.model.layers.12.mlp.gate_proj,1.0,9
2,base_model.model.model.layers.12.mlp.up_proj,1.0,9
2,base_model.model.model.layers.12.mlp.down_proj,0.9910887555751418,8
2,base_model.model.model.layers.13.self_attn.q_proj,1.0,9
2,base_model.model.model.layers.13.self_attn.k_proj,0.8783875876239368,4
2,base_model.model.model.layers.13.self_attn.v_proj,1.0,9
2,base_model.model.model.layers.13.self_attn.o_proj,0.9898846529091575,8
2,base_model.model.model.layers.13.mlp.gate_proj,0.9886840895882675,8
2,base_model.model.model.layers.13.mlp.up_proj,0.9994633535444986,8
2,base_model.model.model.layers.13.mlp.down_proj,1.0,9
2,base_model.model.model.layers.14.self_attn.q_proj,1.0,9
2,base_model.model.model.layers.14.self_attn.k_proj,0.9548943775572947,6
2,base_model.model.model.layers.14.self_attn.v_proj,1.0,9
